Field,Operator,Value
category,equals,Certification
category,equals,Competition
category,equals,Courses
category,equals,Meetings
category,equals,Politics
category,equals,Publishing
category,equals,Religion
category,equals,Threat to Humanity
category,equals,Top stories
category,equals,Top tweets
category,equals,Webinars
link,contains,/jobs/
title,contains,Conference
title,contains,Symposium
title,startswith,Cartoon:
title,startswith,KDD Cup
title,startswith,KDnuggets
title,startswith,KDnuggets™
title,startswith,New Poll:
title,startswith,Podcast:
title,startswith,Predictive Analytics Times
title,startswith,Predictive Analytics World
title,startswith,Top /r/MachineLearning Posts
title,startswith,Top Stories
title,startswith,Upcoming Meetings
title,startswith,Webinar:
